BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460337.965151,1.01084,0.00768,1.5291,-0.91,0.01,10.37,3418
2460337.965564,1.02475,0.00778,1.5255,3.76,1.53,10.10,3420
2460337.965976,1.01512,0.00773,1.5219,1.42,0.98,9.68,3556
2460337.966389,1.00792,0.00762,1.5184,-3.21,0.34,9.35,4155
2460337.966802,1.01591,0.00777,1.5148,-2.37,-0.69,10.66,3307
2460337.967215,1.01537,0.00783,1.5113,-0.68,0.61,10.05,3459
2460337.967635,1.02781,0.00921,1.5078,2.13,0.82,15.49,2025
2460337.968048,1.00743,0.00845,1.5043,0.22,-3.71,12.63,2451
2460337.968468,1.00825,0.00850,1.5008,-0.55,-0.44,13.49,2329
2460337.968882,0.99447,0.00931,1.4974,-2.10,0.89,14.78,2017
2460337.969295,1.01654,0.00851,1.4940,-2.11,4.17,12.04,2749
2460337.969707,1.00155,0.00787,1.4907,0.75,-0.93,10.42,3395
2460337.970120,1.01006,0.00878,1.4873,0.70,-1.96,12.49,2554
2460337.970539,1.01009,0.00834,1.4840,0.30,-0.56,11.85,2716
2460337.970968,1.01190,0.00826,1.4806,2.44,-3.36,12.14,2655
2460337.971380,1.01601,0.00940,1.4773,-1.35,1.35,14.97,1956
2460337.971799,1.01189,0.00895,1.4740,-3.98,1.03,13.29,2279
2460337.972211,1.00406,0.00767,1.4708,-1.13,0.33,8.97,4273
2460337.972630,1.00584,0.00779,1.4676,-0.45,-0.29,9.71,3604
2460337.973043,1.02519,0.00832,1.4645,0.77,0.70,11.62,2980
2460337.973455,1.00585,0.00866,1.4613,0.68,-2.27,12.75,2656
2460337.973867,1.00647,0.00812,1.4582,0.58,-1.29,10.36,3147
2460337.974280,1.01561,0.00788,1.4551,-3.30,-0.46,9.52,3839
2460337.974699,1.01747,0.00814,1.4520,-1.88,3.10,10.66,3083
2460337.975133,1.01192,0.00769,1.4487,0.28,3.75,9.80,3893
2460337.975553,1.01529,0.00759,1.4457,-0.96,-1.30,8.87,4286
2460337.975965,1.01340,0.00791,1.4426,-1.16,-2.71,10.47,3522
2460337.976385,1.00301,0.00816,1.4396,2.19,-2.86,12.68,3314
2460337.976804,1.01885,0.00792,1.4366,-0.87,0.34,13.17,3135
2460337.977216,0.99809,0.00757,1.4337,-3.54,-0.30,9.00,4794
2460337.977628,1.01713,0.00821,1.4307,-1.50,-0.55,11.75,2999
2460337.978040,1.02185,0.00821,1.4278,-2.08,2.32,11.13,3114
2460337.978475,1.02965,0.00803,1.4248,0.39,-0.37,9.84,3592
2460337.978902,1.01694,0.00841,1.4219,0.82,-3.49,10.97,3054
2460337.979315,1.00113,0.00772,1.4190,0.08,-2.52,9.45,4110
2460337.979735,1.03087,0.00789,1.4161,-2.10,2.28,9.54,3979
2460337.980146,1.01387,0.00855,1.4134,-0.08,1.33,12.41,2728
2460337.980573,1.00513,0.00803,1.4105,-2.39,1.34,10.38,3663
2460337.980993,1.02436,0.00806,1.4077,-0.90,-0.41,10.47,3362
2460337.981405,1.01635,0.00788,1.4049,0.85,-1.25,9.82,3872
2460337.981853,1.01849,0.00791,1.4020,3.54,-1.43,10.07,3615
2460337.982265,1.00374,0.00766,1.3993,-2.26,0.10,8.96,4569
2460337.982685,1.01269,0.00766,1.3966,-3.44,0.65,8.43,4790
2460337.983097,1.01462,0.00786,1.3939,-0.70,1.58,10.74,3651
2460337.983583,1.02195,0.00764,1.3908,0.15,0.80,8.78,4725
2460337.984002,1.02207,0.00763,1.3881,0.67,-1.60,8.45,5025
2460337.984413,1.00558,0.00763,1.3856,0.10,-3.36,9.13,4332
2460337.984824,1.03302,0.00787,1.3830,1.10,-0.66,10.69,3879
2460337.985236,1.01472,0.00783,1.3804,-4.64,1.67,11.73,3451
2460337.985648,1.01041,0.00792,1.3779,-2.88,0.00,10.54,3757
2460337.986067,1.01504,0.00777,1.3753,-0.23,-1.15,9.03,4447
2460337.986478,1.01445,0.00812,1.3728,1.73,1.91,10.27,3274
2460337.986898,1.01172,0.00841,1.3703,2.11,-3.14,11.56,2992
2460337.987309,1.01738,0.00777,1.3678,0.55,-2.83,8.70,4592
2460337.987721,1.01326,0.00781,1.3654,-1.95,0.26,9.48,4520
