BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460337.965145,1.02193,0.00745,1.5293,-1.00,0.08,9.51,3108
2460337.965516,1.00629,0.00746,1.5260,3.21,1.50,10.21,3076
2460337.965899,1.01185,0.00728,1.5227,0.97,1.15,9.17,3592
2460337.966281,1.00640,0.00725,1.5194,-2.99,0.33,8.24,4220
2460337.966664,1.00983,0.00772,1.5161,-3.13,-0.31,10.58,2860
2460337.967035,1.00750,0.00738,1.5129,-1.24,-0.70,9.55,3518
2460337.967418,1.01287,0.00792,1.5096,1.95,1.57,12.07,2406
2460337.967801,1.02668,0.00817,1.5064,-1.32,-0.33,11.85,2440
2460337.968184,1.00438,0.00789,1.5032,2.01,-3.44,12.11,2630
2460337.968567,1.01810,0.00809,1.5001,-1.80,0.01,12.04,2310
2460337.968949,1.00928,0.00869,1.4969,-2.37,1.59,14.66,1896
2460337.969332,1.00268,0.00792,1.4938,-2.28,4.36,12.09,2645
2460337.969704,1.00219,0.00755,1.4908,0.44,-0.91,10.45,3145
2460337.970086,1.00466,0.00808,1.4877,0.45,-1.79,12.12,2296
2460337.970469,1.02232,0.00816,1.4847,-0.20,-0.29,11.63,2298
2460337.970840,1.00143,0.00782,1.4816,1.49,-3.52,11.45,2743
2460337.971223,1.01625,0.00810,1.4786,0.56,1.19,12.00,2262
2460337.971977,1.00811,0.00762,1.4727,-1.84,2.40,9.68,3114
2460337.972360,1.01762,0.00735,1.4698,-1.01,-0.27,8.47,3874
2460337.972743,1.00041,0.00739,1.4668,0.00,0.58,10.07,3291
2460337.973114,1.00432,0.00822,1.4639,0.67,0.68,12.47,2366
2460337.973497,1.01285,0.00808,1.4610,0.61,-2.94,11.77,2325
2460337.973868,1.01290,0.00768,1.4582,0.46,-1.36,9.77,2946
2460337.974274,1.01576,0.00749,1.4552,-3.43,-0.31,9.55,3382
2460337.974646,1.01619,0.00768,1.4524,-2.28,3.01,9.99,2965
2460337.975029,1.01118,0.00725,1.4496,1.09,4.50,8.88,4110
2460337.975411,1.01229,0.00726,1.4468,-1.30,-0.20,8.61,3830
2460337.975783,1.02147,0.00732,1.4440,-1.01,-1.37,8.77,3669
2460337.976165,1.00857,0.00814,1.4412,0.95,-5.16,12.69,2331
2460337.976548,1.01820,0.00721,1.4385,2.54,0.81,8.35,4087
2460337.976931,1.01411,0.00741,1.4357,-3.77,-0.64,8.96,3554
2460337.977349,1.01529,0.00718,1.4328,-2.50,0.67,7.77,4532
2460337.977732,1.01189,0.00774,1.4301,-1.04,-1.12,10.87,3029
2460337.978114,1.00953,0.00768,1.4273,-1.27,3.20,10.91,2815
2460337.978497,1.00359,0.00753,1.4247,0.69,-0.53,9.95,3365
2460337.978892,0.99286,0.00796,1.4220,0.34,-3.15,11.11,2815
2460337.979298,1.00642,0.00739,1.4192,0.03,-2.05,8.50,3921
2460337.979669,1.02649,0.00738,1.4166,-1.84,1.25,9.15,3776
2460337.980052,1.01911,0.00786,1.4141,-0.46,2.87,11.10,2777
2460337.980423,1.00722,0.00767,1.4115,-1.76,0.29,10.25,3029
2460337.980806,1.01008,0.00740,1.4090,-1.53,1.54,9.17,3678
2460337.981189,1.02220,0.00739,1.4064,-0.51,-2.50,8.91,3678
2460337.981560,1.01059,0.00752,1.4040,2.35,-0.60,9.72,3377
2460337.981943,1.00458,0.00738,1.4015,2.46,-2.06,9.25,3406
2460337.982314,1.02631,0.00721,1.3990,-3.26,0.99,7.78,4417
2460337.982697,1.02469,0.00724,1.3965,-3.74,0.73,8.01,4389
2460337.983068,1.01680,0.00743,1.3941,-0.85,0.98,9.75,3518
2460337.983451,1.01383,0.00714,1.3917,0.59,2.96,7.80,4720
2460337.983834,1.01880,0.00716,1.3893,-0.68,-1.11,7.70,4719
2460337.984205,1.01964,0.00714,1.3869,1.06,-2.55,7.61,4602
2460337.984588,1.00464,0.00735,1.3845,0.20,-3.37,9.42,3840
2460337.984959,1.00786,0.00722,1.3822,0.58,0.79,8.19,4360
2460337.985342,1.02314,0.00738,1.3798,-6.71,2.12,9.20,3721
2460337.985725,1.01009,0.00716,1.3775,-0.94,0.24,8.24,4486
2460337.986107,1.01287,0.00735,1.3751,0.05,-0.97,8.74,3834
2460337.986490,0.99912,0.00762,1.3728,1.82,1.99,9.95,2963
2460337.986862,1.00638,0.00796,1.3705,2.38,-2.65,11.96,2523
2460337.987244,1.01916,0.00725,1.3683,-0.09,-2.52,8.21,4372
2460337.987616,1.00918,0.00728,1.3660,-1.56,-0.22,8.43,4214
2460337.987999,1.02146,0.00743,1.3637,-2.01,3.36,9.14,3775
2460337.988382,1.01196,0.00761,1.3615,-0.99,0.74,9.81,3374
2460337.988754,1.00750,0.00733,1.3593,-0.18,0.53,9.03,3926
2460337.989136,1.01223,0.00735,1.3572,-0.62,-1.39,9.00,3829
2460337.989508,1.00807,0.00718,1.3550,1.61,0.02,8.44,4372
2460337.989891,1.01687,0.00720,1.3528,1.50,-1.09,8.62,3938
2460337.990262,1.02202,0.00704,1.3506,-0.98,-1.74,7.32,5432
2460337.990645,1.01739,0.00702,1.3485,-2.36,0.24,7.39,5174
2460337.991027,1.01390,0.00714,1.3464,-4.36,3.05,8.13,4651
2460337.991410,1.01855,0.00710,1.3442,0.99,2.17,7.51,5126
2460337.991782,1.01350,0.00684,1.3421,-1.19,1.05,6.13,7381
2460337.992164,1.01094,0.00708,1.3400,-0.07,-0.88,7.45,5395
2460337.992547,1.00578,0.00692,1.3380,-0.40,-1.41,6.76,6449
2460337.992930,1.00557,0.00714,1.3359,0.84,-1.46,8.93,4080
2460337.993301,1.01393,0.00712,1.3339,-1.12,-2.13,7.72,4589
2460337.993684,1.01153,0.00706,1.3318,-1.70,0.44,7.33,5284
2460337.994067,1.01319,0.00731,1.3298,-0.93,1.85,8.78,4129
2460337.994438,1.02151,0.00726,1.3278,-1.38,2.90,7.84,4763
2460337.994821,1.01787,0.00712,1.3258,-0.55,-0.04,6.91,5712
2460337.995204,1.00024,0.00717,1.3238,0.53,-2.05,7.69,4860
2460337.995575,1.02221,0.00737,1.3219,2.50,-0.21,9.16,4321
2460337.995958,1.01094,0.00728,1.3199,0.27,-1.38,8.41,4498
2460337.996329,1.01994,0.00761,1.3180,-1.75,-0.82,9.87,3191
2460337.996712,1.01039,0.00731,1.3160,-2.16,0.91,8.13,4316
2460337.997083,1.01059,0.00722,1.3141,0.69,1.81,8.63,4242
2460337.997466,1.01169,0.00705,1.3122,-0.64,-0.13,7.29,5404
2460337.997849,1.01782,0.00720,1.3103,0.32,-0.89,8.05,4476
2460337.998220,1.02287,0.00736,1.3085,-0.45,-0.78,8.58,3857
2460337.998603,1.01138,0.00723,1.3066,1.31,0.16,8.40,4505
2460337.998974,1.01938,0.00734,1.3048,-0.66,-0.53,8.73,3970
2460337.999357,1.01889,0.00747,1.3029,-3.00,1.33,12.63,3783
